,Zip_Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,501,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0
1,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6390,0,0,0,0,1,1,0.25,0.25,0,0,0,0,0,0,0,0
3,11001,0.197222222,0.146381579,0.138983051,0.15641293,0.178828366,0.254455446,0.286363636,0.312393888,0.361269325,0.39757085,0.440635452,0.492537313,0.459001783,0.435185185,0.448543689,0.447069943
4,11003,0.280550775,0.190329218,0.151272727,0.173717949,0.233273056,0.307952623,0.346293416,0.4200611,0.488780488,0.506142506,0.547232824,0.572120039,0.559813568,0.562091503,0.554054054,0.572476029
5,11010,0.173913043,0.137450199,0.107692308,0.123115578,0.148401826,0.180493274,0.215042373,0.255698712,0.265365854,0.327416174,0.343137255,0.321685509,0.334710744,0.328824142,0.329533679,0.339211618
6,11020,0.264367816,0.215827338,0.153005464,0.140271493,0.179282869,0.266891892,0.270833333,0.298591549,0.344736842,0.417344173,0.434316354,0.470760234,0.434285714,0.412650602,0.457413249,0.461538462
7,11021,0.228070175,0.150197628,0.094707521,0.104895105,0.108216433,0.147747748,0.176079734,0.221374046,0.252066116,0.299077734,0.328626444,0.348925411,0.337939698,0.341279799,0.358267717,0.333333333
8,11022,0,0,0,0,0.5,0.333333333,1,0.75,0.6,0.333333333,0.5,0.5,0,0,0,0
9,11023,0.168674699,0.101351351,0.080851064,0.078688525,0.081632653,0.092165899,0.138392857,0.152749491,0.193877551,0.233870968,0.247169811,0.256457565,0.281415929,0.239130435,0.232245681,0.205175601
10,11024,0.191176471,0.133858268,0.046728972,0.059760956,0.084745763,0.128279883,0.145552561,0.16,0.154734411,0.204225352,0.245901639,0.228365385,0.251231527,0.162436548,0.1898017,0.217270195
11,11025,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0
12,11026,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0
13,11027,1,1,1,1,1,1,1,1,0.75,0.6,0.25,0.5,0,0,0,0
14,11030,0.182432432,0.086330935,0.079439252,0.078544061,0.151785714,0.202229299,0.186609687,0.191570881,0.20959596,0.235446313,0.272143774,0.295364238,0.293733681,0.293793103,0.292349727,0.318379161
15,11040,0.243614931,0.159952607,0.118614719,0.141843972,0.180640244,0.237142857,0.271021992,0.337085308,0.345826235,0.395206243,0.409696324,0.471127901,0.464423607,0.478409091,0.471044776,0.476331361
16,11041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11042,0,0,0,0.5,0.5,0,0,0,0.5,0.375,0.416666667,0.538461538,0.533333333,0.428571429,0.307692308,0.066666667
18,11043,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0
19,11044,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
20,11050,0.256704981,0.168103448,0.095744681,0.102657005,0.134171908,0.194218609,0.203204047,0.22985782,0.228395062,0.275555556,0.336213103,0.376506024,0.395080707,0.352660842,0.362012987,0.344289236
21,11051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
22,11052,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23,11053,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24,11054,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
25,11055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,11096,0.307692308,0.238709677,0.226851852,0.220472441,0.244525547,0.300330033,0.349862259,0.449748744,0.469798658,0.482688391,0.496254682,0.532467532,0.506024096,0.50177305,0.541133455,0.522157996
27,11099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
